frame,type,pid,team,timestamp
99,dribble,1,B,3.2999736
100,dribble,1,B,3.3333066666666666
101,dribble,1,B,3.3666397333333333
102,dribble,1,B,3.3999728
103,dribble,1,B,3.4333058666666667
104,dribble,1,B,3.4666389333333334
105,dribble,1,B,3.499972
106,dribble,1,B,3.5333050666666668
107,dribble,1,B,3.5666381333333335
108,dribble,1,B,3.5999712
109,dribble,1,B,3.6333042666666664
110,dribble,1,B,3.666637333333333
111,dribble,1,B,3.6999703999999998
112,dribble,1,B,3.7333034666666665
113,dribble,1,B,3.766636533333333
114,dribble,1,B,3.7999696
115,dribble,1,B,3.8333026666666665
116,dribble,1,B,3.866635733333333
132,dribble,5,A,4.3999648
133,dribble,5,A,4.433297866666667
134,dribble,5,A,4.466630933333334
135,dribble,5,A,4.499964
136,dribble,5,A,4.533297066666667
137,dribble,5,A,4.566630133333334
138,dribble,5,A,4.5999631999999995
139,dribble,5,A,4.633296266666666
140,dribble,5,A,4.666629333333333
141,dribble,5,B,4.6999623999999995
142,dribble,5,B,4.733295466666666
143,dribble,5,B,4.766628533333333
144,dribble,5,B,4.7999616
145,dribble,5,B,4.833294666666666
146,dribble,5,B,4.866627733333333
147,dribble,5,B,4.8999608
148,dribble,5,B,4.933293866666666
149,dribble,5,B,4.966626933333333
150,dribble,5,B,4.99996
151,dribble,5,B,5.033293066666666
152,dribble,5,B,5.066626133333333
153,dribble,5,B,5.0999592
154,dribble,5,B,5.1332922666666665
155,dribble,5,B,5.166625333333333
172,dribble,21,A,5.733287466666667
173,dribble,21,A,5.766620533333334
174,dribble,21,A,5.7999536
175,dribble,21,A,5.833286666666667
176,dribble,21,A,5.866619733333334
177,dribble,21,A,5.899952799999999
178,dribble,21,A,5.933285866666666
179,dribble,21,A,5.966618933333333
180,dribble,21,A,5.9999519999999995
181,dribble,21,A,6.033285066666666
182,dribble,21,A,6.066618133333333
183,dribble,21,A,6.0999512
184,dribble,21,A,6.133284266666666
185,dribble,21,A,6.166617333333333
186,dribble,21,A,6.1999504
187,dribble,21,A,6.233283466666666
188,dribble,21,A,6.266616533333333
207,dribble,21,B,6.8999448
223,dribble,24,A,7.433273866666666
224,dribble,24,A,7.466606933333333
225,dribble,24,A,7.49994
226,dribble,24,A,7.533273066666666
227,dribble,24,A,7.566606133333333
228,dribble,24,A,7.5999392
229,dribble,24,A,7.633272266666666
230,dribble,24,A,7.666605333333333
231,dribble,24,A,7.6999384
232,dribble,24,A,7.733271466666666
233,dribble,24,A,7.766604533333333
234,dribble,24,A,7.7999376
235,dribble,24,B,7.8332706666666665
236,dribble,24,B,7.866603733333333
276,dribble,34,A,9.199926399999999
277,dribble,34,A,9.233259466666667
278,dribble,34,A,9.266592533333332
279,dribble,34,A,9.2999256
280,dribble,34,A,9.333258666666666
281,dribble,34,A,9.366591733333333
282,dribble,34,A,9.399924799999999
283,dribble,34,A,9.433257866666667
284,dribble,34,A,9.466590933333332
285,dribble,34,A,9.499924
286,dribble,34,A,9.533257066666666
287,dribble,34,A,9.566590133333333
288,dribble,34,A,9.5999232
289,dribble,34,A,9.633256266666667
290,dribble,34,A,9.666589333333333
291,dribble,34,A,9.6999224
292,dribble,34,A,9.733255466666666
317,dribble,30,A,10.566582133333332
318,dribble,30,A,10.5999152
319,dribble,30,A,10.633248266666666
320,dribble,30,A,10.666581333333333
321,dribble,30,A,10.699914399999999
322,dribble,30,A,10.733247466666667
323,dribble,30,A,10.766580533333332
324,dribble,30,A,10.7999136
325,dribble,30,A,10.833246666666666
326,dribble,30,A,10.866579733333333
327,dribble,30,A,10.8999128
328,dribble,30,A,10.933245866666667
329,dribble,30,A,10.966578933333333
330,dribble,30,A,10.999912
331,dribble,30,A,11.033245066666666
332,dribble,30,A,11.066578133333334
333,dribble,30,A,11.0999112
334,dribble,30,A,11.133244266666667
335,dribble,30,A,11.166577333333333
336,dribble,30,A,11.1999104
337,dribble,30,A,11.233243466666666
338,dribble,30,A,11.266576533333334
339,dribble,30,A,11.2999096
550,dribble,202,B,18.333186666666666
551,dribble,202,B,18.366519733333334
552,dribble,202,B,18.399852799999998
553,dribble,202,B,18.433185866666665
554,dribble,202,B,18.466518933333333
555,dribble,202,B,18.499852
556,dribble,202,B,18.533185066666665
557,dribble,202,B,18.566518133333332
558,dribble,202,B,18.5998512
559,dribble,202,B,18.633184266666667
560,dribble,202,B,18.66651733333333
576,dribble,212,A,19.1998464
577,dribble,212,A,19.233179466666666
578,dribble,212,A,19.266512533333334
579,dribble,212,A,19.2998456
580,dribble,212,A,19.333178666666665
581,dribble,212,A,19.366511733333333
582,dribble,212,A,19.3998448
583,dribble,212,A,19.433177866666668
584,dribble,212,A,19.466510933333332
585,dribble,212,A,19.499844
586,dribble,212,A,19.533177066666667
587,dribble,212,A,19.566510133333335
633,dribble,234,A,21.0998312
634,dribble,234,A,21.133164266666665
635,dribble,234,A,21.166497333333332
636,dribble,234,A,21.1998304
637,dribble,234,A,21.233163466666667
638,dribble,234,A,21.26649653333333
639,dribble,234,A,21.2998296
640,dribble,234,A,21.333162666666666
641,dribble,234,A,21.366495733333334
642,dribble,234,A,21.399828799999998
643,dribble,234,A,21.433161866666666
