player_id,team,poss,passes,shots,goals,dribbles
1,B,33,0,0,0,18
5,A,39,0,0,0,24
21,A,48,0,0,0,18
24,A,32,0,0,0,14
28,B,2,0,0,0,0
32,A,12,0,0,0,0
34,A,38,0,0,0,17
38,A,1,0,0,0,0
30,A,41,0,0,0,23
49,A,6,0,0,0,0
64,A,15,0,0,0,0
55,B,18,0,0,0,0
84,A,9,0,0,0,0
81,B,14,0,0,0,0
100,A,2,0,0,0,0
101,A,21,0,0,0,0
113,A,3,0,0,0,0
139,A,1,0,0,0,0
154,B,8,0,0,0,0
156,B,21,0,0,0,0
173,A,6,0,0,0,0
190,A,3,0,0,0,0
169,A,11,0,0,0,0
202,B,31,0,0,0,11
204,A,1,0,0,0,0
212,A,27,0,0,0,12
192,B,12,0,0,0,0
222,A,11,0,0,0,0
234,A,30,0,0,0,15
243,A,25,0,0,0,10
240,B,1,0,0,0,0
245,B,8,0,0,0,0
247,B,15,0,0,0,0
251,B,7,0,0,0,0
252,B,12,0,0,0,0
255,B,51,0,0,0,26
264,B,4,0,0,0,0
299,B,1,0,0,0,0
297,A,25,0,0,0,10
318,B,1,0,0,0,0
320,A,6,0,0,0,0
259,A,2,0,0,0,0
324,B,7,0,0,0,0
325,A,12,0,0,0,0
341,A,3,0,0,0,0
345,B,8,0,0,0,0
349,A,1,0,0,0,0
355,A,2,0,0,0,0
367,B,2,0,0,0,0
366,B,12,0,0,0,0
368,A,7,0,0,0,0
377,B,3,0,0,0,0
383,A,2,0,0,0,0
388,B,6,0,0,0,0
391,B,8,0,0,0,0
389,B,8,0,0,0,0
398,B,2,0,0,0,0
406,A,21,0,0,0,0
405,A,2,0,0,0,0
410,B,2,0,0,0,0
401,B,4,0,0,0,0
417,A,5,0,0,5,0
420,A,13,0,0,13,0
409,B,6,0,0,0,0
428,B,1,0,0,0,0
431,B,70,0,0,0,35
456,A,1,0,0,0,0
460,B,1,0,0,0,0
467,A,1,0,0,0,0
470,B,38,0,0,4,23
471,B,8,0,0,0,0
475,B,15,0,0,0,0
511,B,4,0,0,0,0
520,B,2,0,0,0,0
517,B,1,0,0,0,0
524,B,14,0,0,0,0
531,B,1,0,0,0,0
547,B,7,0,0,0,0
550,A,8,0,0,0,0
555,B,10,0,0,0,0
556,A,1,0,0,0,0
557,B,1,0,0,0,0
569,A,1,0,0,0,0
565,B,11,0,0,0,0
563,A,5,0,0,0,0
576,A,2,0,0,0,0
578,A,22,0,0,0,7
582,B,30,0,0,0,15
598,B,3,0,0,0,0
594,B,15,0,0,0,0
609,B,17,0,0,0,0
614,A,7,0,0,0,0
615,B,25,0,0,0,0
570,B,9,0,0,0,0
560,B,21,0,0,0,2
631,B,3,0,0,0,0
645,A,6,0,0,0,0
649,B,12,0,0,0,0
651,B,4,0,0,0,0
647,B,3,0,0,0,0
660,B,8,0,0,0,0
559,B,6,0,0,0,0
666,B,39,0,0,0,19
667,A,6,0,0,0,0
670,B,4,0,0,0,0
671,A,3,1,0,0,0
673,B,1,0,0,0,0
691,A,1,0,0,0,0
692,A,2,0,0,0,0
699,B,2,0,0,0,0
704,A,6,0,0,0,0
722,B,10,0,0,0,0
712,A,7,0,0,0,0
734,B,6,0,0,0,0
743,B,1,1,0,1,0
750,A,1,0,0,0,0
751,A,3,0,0,0,0
754,B,28,0,0,0,1
753,B,11,0,0,0,0
766,A,9,0,0,0,0
772,A,31,0,0,0,8
774,A,3,0,0,0,0
792,B,4,0,0,0,0
758,B,15,0,0,0,0
790,A,3,0,0,0,0
798,B,2,0,0,0,0
807,B,1,0,0,0,0
811,A,1,0,0,0,0
806,A,11,0,0,0,0
809,B,41,0,0,0,26
836,B,25,0,0,0,10
840,B,16,0,0,0,0
850,B,7,0,0,0,0
852,B,4,0,0,0,0
855,B,23,0,0,0,2
866,A,10,0,0,0,0
868,B,5,0,0,0,0
874,A,9,0,0,0,0
881,B,2,0,0,0,0
871,A,6,0,0,0,0
